TimeStamp,Humedad (%), Temperatura(DHT), Temperatura (BMP), Presion (hPa), Altitud (m), CO2 (ppm)
2022:4:10:21:23:42,64.00,22.80,22.53,983.24,260.77,455.90
2022:4:10:21:23:44,64.00,22.80,22.52,983.25,260.65,455.90
2022:4:10:21:23:46,64.00,22.80,22.52,983.26,260.50,455.90
2022:4:10:21:23:48,64.00,22.80,22.52,983.25,260.59,455.90
2022:4:10:21:23:51,64.00,22.80,22.51,983.24,260.68,455.90
2022:4:10:21:23:53,64.00,22.80,22.51,983.24,260.68,455.90
2022:4:10:21:23:55,64.00,22.80,22.50,983.26,260.55,455.90
2022:4:10:21:23:57,64.00,22.80,22.50,983.24,260.67,455.90
2022:4:10:21:23:59,64.00,22.80,22.50,983.26,260.53,455.90
2022:4:10:21:24:1,64.00,22.80,22.49,983.24,260.68,455.90
2022:4:10:21:24:3,64.00,22.80,22.50,983.25,260.66,455.90
2022:4:10:21:24:5,64.00,22.80,22.51,983.24,260.70,455.90
2022:4:10:21:24:7,64.00,22.80,22.51,983.28,260.33,455.90
2022:4:10:21:24:9,64.00,22.80,22.51,983.26,260.57,455.90
2022:4:10:21:24:11,64.00,22.80,22.52,983.26,260.50,455.90
2022:4:10:21:24:13,64.00,22.80,22.52,983.27,260.46,455.90
2022:4:10:21:24:16,64.00,22.80,22.52,983.27,260.46,455.90
2022:4:10:21:24:18,64.00,22.90,22.52,983.23,260.77,455.90
2022:4:10:21:24:20,64.00,22.80,22.52,983.25,260.62,455.90
2022:4:10:21:24:22,64.00,22.90,22.51,983.26,260.56,455.90
2022:4:10:21:24:24,64.00,22.80,22.52,983.27,260.47,455.90
2022:4:10:21:24:26,64.00,22.80,22.51,983.22,260.93,455.90
2022:4:10:21:24:28,64.00,22.80,22.51,983.26,260.54,455.90
2022:4:10:21:24:30,64.00,22.80,22.52,983.25,260.63,455.90
2022:4:10:21:24:32,64.00,22.90,22.51,983.24,260.75,455.90
2022:4:10:21:24:34,64.00,22.80,22.52,983.24,260.76,455.90
2022:4:10:21:24:36,64.00,22.90,22.52,983.26,260.54,455.90
2022:4:10:21:24:38,64.00,22.90,22.52,983.27,260.45,455.90
2022:4:10:21:24:40,64.00,22.90,22.53,983.27,260.43,455.90
2022:4:10:21:24:43,64.00,22.90,22.52,983.24,260.69,455.90
2022:4:10:21:24:45,64.00,22.80,22.53,983.27,260.50,455.90
2022:4:10:21:24:47,64.00,22.80,22.53,983.20,261.07,455.90
2022:4:10:21:24:49,64.00,22.80,22.54,983.25,260.62,455.90
2022:4:10:21:24:51,64.00,22.80,22.55,983.24,260.76,455.90
2022:4:10:21:24:53,64.00,22.80,22.55,983.25,260.64,455.90
2022:4:10:21:24:55,64.00,22.80,22.56,983.26,260.55,455.90
2022:4:10:21:24:57,64.00,22.90,22.57,983.27,260.48,455.90
2022:4:10:21:24:59,64.00,22.80,22.58,983.26,260.62,455.90
2022:4:10:21:25:1,64.00,22.80,22.58,983.26,260.56,455.90
2022:4:10:21:25:3,64.00,22.80,22.59,983.25,260.69,455.90
2022:4:10:21:25:5,64.00,22.80,22.59,983.26,260.62,455.90
2022:4:10:21:25:8,64.00,22.90,22.58,983.24,260.81,455.90
2022:4:10:21:25:10,64.00,22.80,22.58,983.23,260.90,455.90
2022:4:10:21:25:12,64.00,22.80,22.59,983.25,260.73,455.90
2022:4:10:21:25:14,64.00,22.80,22.59,983.25,260.71,455.90
2022:4:10:21:25:16,64.00,22.80,22.60,983.25,260.74,455.90
2022:4:10:21:25:18,64.00,22.80,22.59,983.24,260.77,455.90
2022:4:10:21:25:20,64.00,22.90,22.59,983.21,261.07,455.90
2022:4:10:21:25:22,64.00,22.80,22.59,983.22,260.94,455.90
2022:4:10:21:25:24,64.00,22.80,22.59,983.21,261.05,455.90
2022:4:10:21:25:26,64.00,22.90,22.59,983.22,260.95,455.90
2022:4:10:21:25:28,64.00,22.80,22.58,983.22,260.96,455.90
2022:4:10:21:25:30,64.00,22.80,22.60,983.26,260.61,455.90
2022:4:10:21:25:33,64.00,22.80,22.59,983.23,260.88,455.90
2022:4:10:21:25:35,64.00,22.90,22.59,983.23,260.84,455.90
2022:4:10:21:25:37,64.00,22.90,22.60,983.26,260.59,455.90
2022:4:10:21:25:39,64.00,22.80,22.60,983.22,260.93,455.90
2022:4:10:21:25:41,64.00,22.80,22.61,983.23,260.88,455.90
2022:4:10:21:25:43,64.00,22.90,22.61,983.24,260.81,455.90
2022:4:10:21:25:45,64.00,22.80,22.61,983.25,260.75,455.90
2022:4:10:21:25:47,64.00,22.90,22.62,983.21,261.10,455.90
2022:4:10:21:25:49,64.00,22.80,22.61,983.21,261.10,455.90
2022:4:10:21:25:51,64.00,22.90,22.62,983.22,260.96,455.90
2022:4:10:21:25:53,64.00,22.80,22.61,983.22,260.97,455.90
