TimeStamp,Humedad (%), Temperatura(DHT), Temperatura (BMP), Presion (hPa), Altitud (m), CO2 (ppm)
2022:4:18:11:15:10,41.80,26.60,26.18,998.03,132.58,4292.75
2022:4:18:11:15:12,41.80,26.60,26.18,998.04,132.52,4226.44
2022:4:18:11:15:14,41.80,26.60,26.16,998.02,132.67,4226.44
2022:4:18:11:15:16,41.80,26.50,26.17,998.03,132.58,4095.85
2022:4:18:11:15:18,41.80,26.50,26.16,998.03,132.56,4226.44
2022:4:18:11:15:20,41.70,26.50,26.16,998.06,132.35,4226.44
2022:4:18:11:15:22,41.80,26.60,26.16,998.05,132.38,4160.80
2022:4:18:11:15:24,41.80,26.60,26.16,998.05,132.44,4292.75
2022:4:18:11:15:26,41.80,26.60,26.16,998.05,132.42,4292.75
2022:4:18:11:15:28,41.80,26.60,26.16,998.04,132.47,4359.77
2022:4:18:11:15:30,41.80,26.60,26.16,998.07,132.23,4292.75
2022:4:18:11:15:32,41.80,26.60,26.18,998.07,132.24,4292.75
2022:4:18:11:15:34,41.80,26.60,26.17,998.08,132.18,4359.77
2022:4:18:11:15:36,41.70,26.60,26.17,998.04,132.51,4359.77
2022:4:18:11:15:38,41.60,26.50,26.16,998.02,132.69,4292.75
2022:4:18:11:15:41,41.70,26.60,26.17,998.08,132.19,4359.77
2022:4:18:11:15:43,41.60,26.50,26.16,998.03,132.58,4292.75
2022:4:18:11:15:45,41.70,26.60,26.17,998.06,132.31,4292.75
2022:4:18:11:15:47,41.60,26.50,26.15,998.02,132.69,4359.77
2022:4:18:11:15:49,41.70,26.50,26.16,998.04,132.54,4359.77
2022:4:18:11:15:51,41.70,26.50,26.16,998.02,132.66,4359.77
2022:4:18:11:15:53,41.70,26.50,26.17,998.05,132.42,4359.77
2022:4:18:11:15:55,41.70,26.50,26.17,998.03,132.55,4359.77
2022:4:18:11:15:57,41.70,26.50,26.18,998.04,132.49,4359.77
2022:4:18:11:15:59,41.70,26.50,26.17,998.03,132.61,4359.77
2022:4:18:11:16:1,41.60,26.50,26.17,998.03,132.60,4427.47
2022:4:18:11:16:3,41.60,26.50,26.17,998.03,132.62,4359.77
2022:4:18:11:16:5,41.60,26.50,26.17,998.02,132.68,4359.77
2022:4:18:11:16:7,41.60,26.50,26.17,998.07,132.23,4427.47
2022:4:18:11:16:9,41.60,26.50,26.16,998.05,132.42,4495.86
2022:4:18:11:16:11,41.60,26.50,26.17,998.08,132.18,4495.86
2022:4:18:11:16:14,41.60,26.50,26.17,998.04,132.49,4427.47
2022:4:18:11:16:16,41.60,26.50,26.15,998.04,132.47,4495.86
2022:4:18:11:16:18,41.60,26.50,26.16,998.02,132.65,4427.47
2022:4:18:11:16:20,41.60,26.50,26.15,998.05,132.45,4359.77
2022:4:18:11:16:22,41.60,26.50,26.15,998.05,132.40,4359.77
2022:4:18:11:16:24,41.60,26.50,26.15,998.02,132.70,4359.77
2022:4:18:11:16:26,41.60,26.50,26.16,998.03,132.62,4495.86
2022:4:18:11:16:28,41.60,26.50,26.15,998.01,132.74,4427.47
2022:4:18:11:16:30,41.60,26.50,26.15,998.04,132.46,4495.86
2022:4:18:11:16:32,41.60,26.50,26.15,998.03,132.57,4359.77
2022:4:18:11:16:34,41.60,26.50,26.16,998.04,132.54,4292.75
2022:4:18:11:16:36,41.60,26.50,26.15,998.04,132.47,4292.75
2022:4:18:11:16:38,41.70,26.50,26.16,998.07,132.24,4292.75
2022:4:18:11:16:40,41.70,26.50,26.16,998.05,132.45,4292.75
2022:4:18:11:16:42,41.70,26.50,26.16,998.03,132.61,4292.75
2022:4:18:11:16:45,41.70,26.50,26.16,998.07,132.20,4292.75
2022:4:18:11:16:47,41.70,26.50,26.16,998.02,132.68,4226.44
2022:4:18:11:16:49,41.70,26.50,26.15,998.04,132.47,4226.44
2022:4:18:11:16:51,41.70,26.50,26.15,998.02,132.64,4292.75
2022:4:18:11:16:53,41.70,26.50,26.15,998.06,132.32,4359.77
2022:4:18:11:16:55,41.70,26.50,26.15,998.06,132.34,4359.77
2022:4:18:11:16:57,41.70,26.50,26.14,998.03,132.60,4359.77
2022:4:18:11:16:59,41.70,26.50,26.16,998.06,132.34,4359.77
2022:4:18:11:17:1,41.70,26.50,26.15,998.00,132.85,4427.47
2022:4:18:11:17:3,41.70,26.50,26.16,998.06,132.29,4495.86
2022:4:18:11:17:5,41.70,26.50,26.16,998.06,132.31,4427.47
2022:4:18:11:17:7,41.80,26.50,26.16,998.05,132.38,4427.47
2022:4:18:11:17:9,41.80,26.60,26.15,998.01,132.72,4427.47
2022:4:18:11:17:11,41.80,26.50,26.16,998.03,132.56,4427.47
2022:4:18:11:17:13,41.80,26.50,26.16,998.04,132.53,4427.47
2022:4:18:11:17:15,41.80,26.50,26.17,998.07,132.26,4427.47
2022:4:18:11:17:18,41.80,26.50,26.16,998.04,132.51,4427.47
2022:4:18:11:17:20,41.80,26.60,26.16,998.05,132.41,4427.47
2022:4:18:11:17:22,41.80,26.50,26.16,998.02,132.65,4427.47
2022:4:18:11:17:24,41.70,26.50,26.17,998.05,132.38,4427.47
2022:4:18:11:17:26,41.80,26.60,26.16,998.03,132.57,4427.47
2022:4:18:11:17:28,41.70,26.60,26.17,998.04,132.54,4427.47
2022:4:18:11:17:30,41.60,26.50,26.17,998.05,132.42,4427.47
2022:4:18:11:17:32,41.60,26.50,26.17,998.02,132.65,4564.96
2022:4:18:11:17:34,41.50,26.50,26.17,998.01,132.80,4495.86
2022:4:18:11:17:36,41.50,26.50,26.18,998.00,132.91,4495.86
2022:4:18:11:17:38,41.50,26.50,26.18,998.04,132.47,4427.47
2022:4:18:11:17:40,41.50,26.50,26.18,998.03,132.56,4495.86
2022:4:18:11:17:42,41.50,26.50,26.18,998.03,132.57,4495.86
2022:4:18:11:17:44,41.40,26.50,26.18,998.03,132.59,4495.86
2022:4:18:11:17:46,41.50,26.50,26.18,998.02,132.68,4495.86
2022:4:18:11:17:49,41.40,26.50,26.18,998.08,132.19,4495.86
2022:4:18:11:17:51,41.40,26.50,26.18,998.06,132.30,4495.86
2022:4:18:11:17:53,41.40,26.50,26.18,998.07,132.26,4495.86
2022:4:18:11:17:55,41.50,26.50,26.18,998.07,132.24,4634.76
2022:4:18:11:17:57,41.50,26.50,26.17,998.07,132.22,4776.48
2022:4:18:11:17:59,41.50,26.50,26.17,998.06,132.32,4994.43
2022:4:18:11:18:1,41.50,26.50,26.16,998.05,132.41,5068.53
2022:4:18:11:18:3,41.50,26.50,26.16,998.03,132.56,5068.53
2022:4:18:11:18:5,41.50,26.50,26.16,998.02,132.67,5068.53
2022:4:18:11:18:7,41.50,26.50,26.16,998.04,132.51,5218.91
2022:4:18:11:18:9,41.50,26.50,26.16,998.09,132.07,5218.91
2022:4:18:11:18:11,41.60,26.50,26.17,998.08,132.14,5143.36
2022:4:18:11:18:13,41.60,26.50,26.17,998.08,132.19,5143.36
2022:4:18:11:18:15,41.60,26.50,26.17,998.08,132.15,4776.48
2022:4:18:11:18:17,41.60,26.50,26.17,998.06,132.30,4921.06
2022:4:18:11:18:19,41.60,26.50,26.18,998.07,132.22,4921.06
2022:4:18:11:18:22,41.60,26.50,26.18,998.09,132.07,5068.53
2022:4:18:11:18:24,41.60,26.50,26.18,998.04,132.50,5450.02
2022:4:18:11:18:26,41.70,26.50,26.17,998.04,132.52,5450.02
2022:4:18:11:18:28,41.70,26.50,26.17,998.06,132.30,5295.21
2022:4:18:11:18:30,41.80,26.50,26.18,998.06,132.30,5218.91
2022:4:18:11:18:32,41.80,26.50,26.17,998.07,132.27,5218.91
2022:4:18:11:18:34,41.80,26.50,26.17,998.02,132.64,5295.21
2022:4:18:11:18:36,41.80,26.50,26.18,998.09,132.05,5295.21
2022:4:18:11:18:38,41.80,26.50,26.18,998.08,132.11,4776.48
2022:4:18:11:18:40,41.80,26.50,26.18,998.07,132.25,4848.41
2022:4:18:11:18:42,41.80,26.50,26.17,998.06,132.35,4705.27
2022:4:18:11:18:44,41.80,26.50,26.17,998.08,132.12,4921.06
2022:4:18:11:18:46,41.80,26.50,26.17,998.10,132.02,4921.06
2022:4:18:11:18:48,41.80,26.50,26.15,998.07,132.27,4994.43
2022:4:18:11:18:50,41.80,26.50,26.16,998.05,132.38,4776.48
2022:4:18:11:18:52,41.80,26.50,26.16,998.08,132.19,4921.06
2022:4:18:11:18:55,41.80,26.50,26.16,998.09,132.06,4848.41
2022:4:18:11:18:57,41.80,26.50,26.15,998.08,132.13,4705.27
2022:4:18:11:18:59,41.80,26.50,26.14,998.08,132.18,4776.48
2022:4:18:11:19:1,41.80,26.50,26.15,998.08,132.18,4705.27
2022:4:18:11:19:3,41.80,26.50,26.15,998.07,132.22,4994.43
2022:4:18:11:19:5,41.80,26.50,26.15,998.06,132.35,4994.43
2022:4:18:11:19:7,41.80,26.50,26.15,998.06,132.36,4994.43
2022:4:18:11:19:9,41.80,26.50,26.16,998.07,132.25,4994.43
2022:4:18:11:19:11,41.80,26.50,26.15,998.08,132.18,4994.43
2022:4:18:11:19:13,41.80,26.50,26.16,998.11,131.88,4994.43
2022:4:18:11:19:15,41.80,26.40,26.15,998.10,132.01,5068.53
2022:4:18:11:19:17,41.80,26.50,26.15,998.09,132.07,4921.06
2022:4:18:11:19:19,41.80,26.50,26.16,998.08,132.16,4921.06
2022:4:18:11:19:21,41.80,26.50,26.15,998.07,132.23,4921.06
2022:4:18:11:19:23,41.80,26.50,26.16,998.08,132.16,4921.06
2022:4:18:11:19:25,41.90,26.50,26.16,998.07,132.21,4994.43
2022:4:18:11:19:28,41.90,26.50,26.16,998.10,131.96,4994.43
2022:4:18:11:19:30,41.90,26.50,26.16,998.10,131.99,4994.43
2022:4:18:11:19:32,41.80,26.40,26.17,998.10,131.96,4994.43
2022:4:18:11:19:34,41.90,26.50,26.16,998.13,131.68,4994.43
2022:4:18:11:19:36,41.90,26.50,26.17,998.13,131.75,5068.53
2022:4:18:11:19:38,41.90,26.50,26.18,998.15,131.55,5143.36
2022:4:18:11:19:40,41.90,26.50,26.19,998.13,131.72,5143.36
2022:4:18:11:19:42,41.90,26.50,26.18,998.12,131.79,5218.91
2022:4:18:11:19:44,41.90,26.50,26.18,998.09,132.05,5218.91
2022:4:18:11:19:46,41.90,26.50,26.20,998.11,131.93,5143.36
2022:4:18:11:19:48,41.90,26.50,26.20,998.12,131.81,5143.36
2022:4:18:11:19:50,41.90,26.50,26.21,998.10,131.95,5218.91
2022:4:18:11:19:52,41.90,26.50,26.21,998.09,132.09,5218.91
